metrics,author.link.@ref,author.link.@href,author.link.@type,author.name,author.id,author.uri
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57210424956?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Shen, Qian",57210424956,Author/57210424956
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57660859000?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Zhang, Yaoyuan",57660859000,Author/57660859000
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57201554907?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Miraghazadeh, Bahar",57201554907,Author/57201554907
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]}]",self,https://api.elsevier.com/analytics/scival/author/57188653588?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Chu-Tan, Joshua A.",57188653588,Author/57188653588
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 11, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57215231660?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Li, Zheyi",57215231660,Author/57215231660
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57185905900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Lee, Conrad C.Y.",57185905900,Author/57185905900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57215027600?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Dijkwel, Yasmin",57215027600,Author/57215027600
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/37117221400?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Kordbacheh, Farzaneh",37117221400,Author/37117221400
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 25.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 75.0}]}]",self,https://api.elsevier.com/analytics/scival/author/8934427100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Sweet, Rebecca A.",8934427100,Author/8934427100
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57117224700?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Jing, Weidong",57117224700,Author/57117224700
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 6, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57212284851?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Pandey, Abhimanu",57212284851,Author/57212284851
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 17, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/23491230900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"BrÃ¼stle, Anne",23491230900,Author/23491230900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/36678774900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Gautam, Vini",36678774900,Author/36678774900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 3, 'percentage': 10.0}, {'collabType': 'No academic-corporate collaboration', 'value': 27, 'percentage': 90.0}]}]",self,https://api.elsevier.com/analytics/scival/author/12774483500?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Cockburn, Ian A.",12774483500,Author/12774483500
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 22, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6701682753?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Casarotto, Marco G.",6701682753,Author/6701682753
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55584088400?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Honnuraiah, Suraj",55584088400,Author/55584088400
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6507865503?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Domaschenz, Renae",6507865503,Author/6507865503
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 95.0}]}]",self,https://api.elsevier.com/analytics/scival/author/56271023800?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Fernando, Nilisha",56271023800,Author/56271023800
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/7402664076?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"James, Andrew Charles",7402664076,Author/7402664076
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57197314948?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Ryan, Daniel P.",57197314948,Author/57197314948
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]}]",self,https://api.elsevier.com/analytics/scival/author/7102453029?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Stuart, Greg J.",7102453029,Author/7102453029
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57196023637?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Khanna, Mayank",57196023637,Author/57196023637
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57208803993?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Stanley, Maurice",57208803993,Author/57208803993
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/26024139600?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Gharaei, Saba",26024139600,Author/26024139600
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 24, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/35515377100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Parish, Christopher R.",35515377100,Author/35515377100
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57193491114?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Huang, Helena H.Y.",57193491114,Author/57193491114
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57221310471?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Cohen, Rubijayne",57221310471,Author/57221310471
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57222145242?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Boast, Brigette",57222145242,Author/57222145242
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 20.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 80.0}]}]",self,https://api.elsevier.com/analytics/scival/author/7102628941?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Horikawa, Keisuke",7102628941,Author/7102628941
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 16.666668}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 83.33333}]}]",self,https://api.elsevier.com/analytics/scival/author/9042311600?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Soboleva, Tatiana A.",9042311600,Author/9042311600
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.1428576}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 92.85714}]}]",self,https://api.elsevier.com/analytics/scival/author/7003477284?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Tremethick, David John",7003477284,Author/7003477284
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 13, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/37015147100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Carle, Corinne Frances",37015147100,Author/37015147100
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]}]",self,https://api.elsevier.com/analytics/scival/author/6507012293?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Miosge, Lisa A.",6507012293,Author/6507012293
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6602802066?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"McMorran, Brendan J.",6602802066,Author/6602802066
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57211858961?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Rai, Bhim B.",57211858961,Author/57211858961
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57021021900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Hong, Nansook",57021021900,Author/57021021900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/56601665200?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Foote, Simon J.",56601665200,Author/56601665200
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/8736056000?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Parish, Ian A.",8736056000,Author/8736056000
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 6, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55874730600?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Zaytseva, Olga A.",55874730600,Author/55874730600
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 20.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 80.0}]}]",self,https://api.elsevier.com/analytics/scival/author/23470895100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Paz-Filho, Gilberto",23470895100,Author/23470895100
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 0, 'percentage': 0.0}]}]",self,https://api.elsevier.com/analytics/scival/author/36455249900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Wu, Zuopeng",36455249900,Author/36455249900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55513880800?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Huang, Hongming",55513880800,Author/55513880800
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 2, 'percentage': 18.181818}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 81.818184}]}]",self,https://api.elsevier.com/analytics/scival/author/35351327800?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Andrews, Thomas Daniel",35351327800,Author/35351327800
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/9238617500?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Quah, Benjamin",9238617500,Author/9238617500
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/36659821100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"O'Meara, Connor H.",36659821100,Author/36659821100
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55734890300?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Tummala, Padmaja",55734890300,Author/55734890300
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 20, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/7003741274?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Daria, Vincent Ricardo",7003741274,Author/7003741274
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6506599158?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Delghingaro-Augusto, V.",6506599158,Author/6506599158
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 3, 'percentage': 30.000002}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 70.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6506236916?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Athanasopoulos, Vicki",6506236916,Author/6506236916
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 38, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/7003901789?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Maddess, Ted L.",7003901789,Author/7003901789
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 1, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57659289000?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Meng, Xiangpeng",57659289000,Author/57659289000
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 16.666668}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 83.33333}]}]",self,https://api.elsevier.com/analytics/scival/author/55497027100?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"GonzÃ¡lez-Figueroa, Paula",55497027100,Author/55497027100
